GP,PPG,RPG,APG,SPG,BPG,TOPG,FGP,FTP,3PP,FGAPG,FTAPG,3PAPG,ORPG,DRPG,PAPG,S10,WPCT,GPA,PPGA,RPGA,APGA,SPGA,BPGA,TOPGA,FGPA,FTPA,3PPA,FGAPGA,FTAPGA,3PAPGA,ORPGA,DRPGA,PAPGA,S10A,WPCTA,result
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,27.0,71.2,34.0,13.5,6.2,2.0,12.1,46.0,69.2,35.1,55.2962962962963,18.62962962962963,21.074074074074073,7.703703703703703,26.296296296296298,70.21739130434783,0.5,0.4782608695652174,1
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,27.0,71.2,34.0,13.5,6.2,2.0,12.1,46.0,69.2,35.1,55.2962962962963,18.62962962962963,21.074074074074073,7.703703703703703,26.296296296296298,70.21739130434783,0.5,0.4782608695652174,0
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,25.0,72.0,34.8,14.0,7.1,2.7,13.2,43.7,69.8,37.9,58.8,16.04,24.88,10.36,24.44,72.54545454545455,0.5,0.4090909090909091,1
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,25.0,72.0,34.8,14.0,7.1,2.7,13.2,43.7,69.8,37.9,58.8,16.04,24.88,10.36,24.44,72.54545454545455,0.5,0.4090909090909091,0
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,24.0,73.2,39.0,11.3,5.9,3.2,13.8,42.8,74.5,33.7,60.708333333333336,17.666666666666668,23.708333333333332,11.0,28.0,72.25,0.3,0.45,1
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,24.0,73.2,39.0,11.3,5.9,3.2,13.8,42.8,74.5,33.7,60.708333333333336,17.666666666666668,23.708333333333332,11.0,28.0,72.25,0.3,0.45,1
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,24.0,65.5,34.0,10.8,5.8,2.5,14.2,42.0,65.9,31.2,56.625,16.75,21.916666666666668,8.958333333333334,25.0,72.66666666666667,0.2,0.09523809523809523,0
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,27.0,71.2,34.0,13.5,6.2,2.0,12.1,46.0,69.2,35.1,55.2962962962963,18.62962962962963,21.074074074074073,7.703703703703703,26.296296296296298,70.21739130434783,0.5,0.4782608695652174,1
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,24.0,73.2,39.0,11.3,5.9,3.2,13.8,42.8,74.5,33.7,60.708333333333336,17.666666666666668,23.708333333333332,11.0,28.0,72.25,0.3,0.45,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,25.0,64.2,35.2,12.1,5.9,2.1,14.1,43.2,67.6,31.8,55.84,15.68,16.84,8.4,26.8,67.8695652173913,0.1,0.2608695652173913,1
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,22.0,64.1,33.6,10.7,7.0,2.2,15.2,41.6,68.5,30.6,54.5,18.90909090909091,19.0,11.363636363636363,22.227272727272727,68.0952380952381,0.3,0.2857142857142857,1
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,26.0,77.5,37.2,15.0,8.5,2.5,16.7,45.8,68.9,32.4,61.65384615384615,21.26923076923077,19.576923076923077,12.23076923076923,24.96153846153846,78.6,0.5,0.56,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,27.0,71.0,28.4,14.3,6.1,2.3,12.1,49.6,67.8,37.5,52.18518518518518,17.703703703703702,19.25925925925926,6.111111111111111,22.296296296296298,67.88,0.9,0.6,0
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,25.0,76.0,35.2,15.6,7.6,2.8,16.8,47.6,73.7,32.9,59.04,19.32,16.68,9.8,25.4,77.20833333333333,0.6,0.375,1
24.0,67.6,33.3,11.2,6.8,2.6,14.3,43.7,66.4,32.3,55.0,18.708333333333332,21.916666666666668,8.625,24.708333333333332,70.0909090909091,0.2,0.4090909090909091,18.0,61.2,31.3,9.9,5.9,2.8,17.3,38.8,62.1,31.7,57.388888888888886,15.833333333333334,21.555555555555557,10.055555555555555,21.22222222222222,78.55555555555556,0.2,0.16666666666666666,1
